tid,title,imdbRating,ratingCount,duration,year,nrOfWins,nrOfNominations,nrOfUserReviews
12349,Equals,8.4,40550,3240,1921,1,1,85
15864,Pup Star: Better 2Gether,8.3,45319,5700,1925,2,1,122
17136,I Am the Pretty Thing That Lives in the House,8.4,81007,9180,1927,3,4,376
17925,Into the Inferno,8.3,37521,6420,1926,1,1,219
21749,The African Doctor,8.7,70057,5220,1931,2,1,186
22100,They Are Everywhere,8.5,73726,7020,1931,1,1,254
25316,Trailer Park Boys: Out of the Park: Europe,8.3,46503,6300,1934,4,1,211
27977,West Coast,8.6,90847,5220,1936,3,1,181
31381,"Wait, My Youth",8.2,160414,14280,1939,11,6,653
31679,14 Cameras,8.4,58169,7740,1939,4,11,226
32138,Dragon Tiger Gate,8.1,209506,6120,1939,6,12,477
32551,Beyond Stranger Things,8.2,45737,7740,1940,6,5,257
32553,Joan Didion: The Center Will Not Hold,8.5,87969,7500,1940,5,1,173
32976,aaaaa,8.3,65670,7800,1940,2,9,241
33467,Manson Family Vacation,8.5,228617,7140,1941,7,11,1111
33870,A Little Thing Called First Love,8.2,86012,6000,1941,1,1,294
34583,The Last Whistle,8.6,296802,6120,1942,5,6,961
36775,Been So Long,8.5,71266,6420,1944,3,1,261
36868,Dovlatov,8.3,30002,10320,1946,13,1,218
38355,Incoming,8.1,50020,6840,1946,1,1,215
38650,Jefe,8.7,197764,7800,1946,6,1,626
38787,Santo Cach??n,8.2,56306,6060,1946,2,1,261
40522,Shirkers,8.4,63797,5280,1948,17,1,212
40746,Terrorism Close Calls,8.1,72370,4800,1948,1,1,283
40897,W/O Ram,8.4,59298,7560,1948,12,4,191
41959,Strange Weather,8.4,85964,6240,1949,3,4,364
42192,A Tale of Love and Darkness,8.4,61738,8280,1950,15,15,276
42876,Assimilate,8.4,74219,5280,1950,9,2,238
43014,Brotherhood,8.6,102072,6600,1950,17,13,394
44079,Consequences??,8.1,69387,5520,1951,1,1,245
44706,Dolemite Is My Name,8.2,60817,5100,1952,12,11,319
44741,Drug Squad: Costa del Sol,8.4,29478,8580,1952,5,1,136
45152,It Takes a Lunatic,8.4,108115,6180,1952,4,7,441
46250,Monz??n: A Knockout Blow,8.1,69739,7080,1953,7,14,193
46359,My Next Guest with David Letterman and Shah Rukh Khan,8.1,36013,6960,1953,1,4,131
46911,Nailed It! France,8.3,29309,6840,1955,4,1,135
46912,Nailed It! Spain,8.2,72579,6300,1954,3,2,223
47296,Prank Encounters,8.3,74023,6480,1954,21,7,255
47396,Rattlesnake,8.6,229323,6720,1954,6,6,581
47478,The Awakening of Motti Wolkenbruch,8.8,172690,12420,1954,4,5,548
47528,The Untamed,8.2,35143,6480,1954,11,4,118
48424,DreamWorks Spooky Stories,8.1,47739,5580,1955,1,1,322
49406,Queens vs. Kings,8.1,47740,5100,1956,1,1,314
50083,Ronnie Coleman: The King,8.9,293725,5760,1957,16,6,726
50212,Meet the Trumps: From Immigrant to President,8.3,109972,9660,1957,24,5,243
50825,The Hateful Eight,8.5,84945,5280,1957,3,2,313
50976,Walt Disney Animation Studios Short Films Collection,8.3,80684,5760,1957,7,1,236
50986,Daybreak,8.3,45457,5460,1957,12,2,131
51201,Echo in the Canyon,8.5,40385,6960,1957,3,8,172
88247,Monty Python: The Meaning of Live,8.1,413108,6420,1984,5,6,612
88763,Monty Python's Almost the Truth,8.5,478445,6960,1985,13,24,681
89881,Monty Python's Fliegender Zirkus,8.3,58697,9720,1985,28,18,221
90605,Monty Python's Life of Brian,8.5,353899,8220,1986,16,21,998
